"","f_zip","num_facilities","county","region","zip_CMS_overall_rating","zip_CMP_count","zip_DPNA_count","zip_N2009_Abuse","zip_N2009_Admin","zip_N2009_Care","zip_N2009_Environ","zip_N2009_Nutri","zip_N2009_Rights","zip_N2009_Staff","zip_N2009_Total","zip_N2010_Abuse","zip_N2010_Admin","zip_N2010_Care","zip_N2010_Environ","zip_N2010_Nutri","zip_N2010_Rights","zip_N2010_Staff","zip_N2010_Total","zip_N2011_Abuse","zip_N2011_Admin","zip_N2011_Care","zip_N2011_Environ","zip_N2011_Nutri","zip_N2011_Rights","zip_N2011_Staff","zip_N2011_Total","zip_N2012_Abuse","zip_N2012_Admin","zip_N2012_Care","zip_N2012_Environ","zip_N2012_Nutri","zip_N2012_Rights","zip_N2012_Staff","zip_N2012_Total","zip_N2013_Abuse","zip_N2013_Admin","zip_N2013_Care","zip_N2013_Environ","zip_N2013_Nutri","zip_N2013_Rights","zip_N2013_Staff","zip_N2013_Total","zip_PCT_ADMIN","zip_PCT_CAPITAL","zip_PCT_DIRECT","zip_PCT_OCARE","zip_abuse_current","zip_abuse_previous","zip_abuse_prior","zip_abuse_tot","zip_activities_of_daily_living","zip_admin_current","zip_admin_previous","zip_admin_prior","zip_admin_tot","zip_afam","zip_aid_hprd","zip_all_current","zip_all_previous","zip_all_prior","zip_all_tot","zip_asan","zip_benefits","zip_catheter","zip_caucasn","zip_class_AA_count","zip_class_A_count","zip_class_B_count","zip_depeat","zip_depsum","zip_deptoil","zip_deptran","zip_env_current","zip_env_previous","zip_env_prior","zip_env_tot","zip_ex_total","zip_fall","zip_federal_penalty_amount","zip_high_risk_pressure_sores","zip_hispan","zip_less45","zip_long_antipsychotic","zip_long_stay_pain","zip_ls_current","zip_ls_previous","zip_ls_prior","zip_ls_tot","zip_lvn_hprd","zip_nativ","zip_net_income_03","zip_net_income_04","zip_net_income_05","zip_net_income_06","zip_net_income_07","zip_net_income_08","zip_net_income_09","zip_net_income_10","zip_net_income_11","zip_net_income_current","zip_netincomemargin_03","zip_netincomemargin_04","zip_netincomemargin_05","zip_netincomemargin_06","zip_netincomemargin_07","zip_netincomemargin_08","zip_netincomemargin_09","zip_netincomemargin_10","zip_netincomemargin_11","zip_netincomemargin_current","zip_nhoverall_rating","zip_numbeds","zip_nursing_turnover","zip_nut_current","zip_nut_previous","zip_nut_prior","zip_nut_tot","zip_occup_rate","zip_othrace","zip_over85","zip_pct_behv","zip_pct_exsp","zip_pct_imp","zip_pct_mcal","zip_pct_mcare","zip_pct_other","zip_pct_phys","zip_pct_reh","zip_pct_self","zip_pctfem","zip_pctmale","zip_pharm_current","zip_pharm_previous","zip_pharm_prior","zip_pharm_tot","zip_pt_hprd","zip_qc_current","zip_qc_previous","zip_qc_prior","zip_qc_rating","zip_qc_tot","zip_qualityoffacility_rating","zip_ra_current","zip_ra_previous","zip_ra_prior","zip_ra_tot","zip_restraints","zip_rev_mcal","zip_rev_mcare","zip_rev_other","zip_rev_self","zip_rr_current","zip_rr_previous","zip_rr_prior","zip_rr_tot","zip_short_antipsychotic","zip_short_stay_pain","zip_short_stay_pressure_sores","zip_srn_hprd","zip_staffingrating","zip_state_penalty_amount","zip_tot_hprd","zip_total_abuse","zip_total_admin","zip_total_care","zip_total_environ","zip_total_nutri","zip_total_rights","zip_total_staff","zip_total_total","zip_urinary_tract_infection","zip_wph_admin","zip_wph_aide","zip_wph_lic","zip_yr45to64","zip_yr65to84","zip_cmswatchlist","zip_accred","zip_campaignexcellence","zip_aids","zip_alzheimers","zip_chain_facs","zip_num_freestanding","zip_num_hospital","zip_hospice","zip_icf","zip_mcare_days_high","zip_mcare_days_low","zip_mental_health","zip_has_mlrc","zip_for_profit","zip_non_profit","zip_govt_owned","zip_mcal_payment","zip_mcare_payment","zip_private_pay","zip_residential","zip_rehabilitation","zip_substance_abuse","zip_ventilator","zippop","sd1_district","sd1_pct","sd1_num","sd2_district","sd2_pct","sd2_num","sd3_district","sd3_pct","sd3_num","ad1_district","ad1_pct","ad1_num","ad2_district","ad2_pct","ad2_num","ad3_district","ad3_pct","ad3_num","ad4_district","ad4_pct","ad4_num","ad5_district","ad5_pct","ad5_num","cd1_district","cd1_pct","cd1_num","cd2_district","cd2_pct","cd2_num","cd3_district","cd3_pct","cd3_num","cd4_district","cd4_pct","cd4_num","justzip","num_beds","num_emtpy_beds","total_beds","num_empty_beds"
"1","90004
(34.07572239300049, -118.30301712299968)",1,"Los Angeles","Los Angeles",4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,17,3,15,14,7,36,50,10.7,NA,0,0,0,0,100,100,100,100,1,0,1,2,NA,NA,0,NA,33,17,NA,NA,7,5,3,15,2.1,0,1612973,1953649,2244798,109460,-349236,-47509,342159,1451671,2858239,NA,4.3,5.1,5.8,0.3,-1.1,-0.2,1.1,3.6,6.1,NA,4,20,NA,1,1,1,3,50,33,0,0,100,0,100,0,0,0,0,NA,48,52,1,1,0,2,0.6,2,6,2,NA,10,3,0,1,0,1,NA,779.4,NA,NA,NA,3,0,0,3,NA,NA,NA,2.7,5,0,7.8,0,0,1,0,0,0,0,1,NA,45.7,12.2,27.1,83,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,21092,24,"83.1%",17525,26,"16.9%",3566,18,"0%",1,53,"76.5%",16128,50,"16.9%",3566,43,"5.9%",1252,51,"0.7%",145,46,"0%",1,34,"67.2%",14167,28,"22.4%",4733,33,"10.4%",2191,30,"0%",1,"90004",10,10,20,10
"2","90006
(34.05010424100044, -118.2926890439997)",4,"Los Angeles","Los Angeles",2.3,0,0,0,0.3,0,0,0,0,0,0.3,0,0,0.5,0.8,0.3,0,0,1.5,0.8,0.3,0.5,0.3,0,0,0,1.8,1,1,0,0.5,0.8,0,0,3.3,0,0.3,0.8,0,0,0,0,1,22.4,7.6,52.2,17.8,0.8,0.5,0.8,2,12.5,1.8,1,0.8,3.5,20,2.5,24,20.5,24.8,69.3,28,3.9,0.8,30.5,0,0,0.5,17.3,24,28.3,26.8,0.5,1,1.3,2.8,182,1.6,0,5,21,0.5,18.9,3.2,6.5,7.5,10,24,0.6,0.5,233514.8,358703.8,573520,432762.8,362440.5,192591.3,551909.5,746232.8,1137158,1219288.3,5.1,8.2,13.5,9.6,5.4,0.9,7.6,6.5,7.2,6.3,1.8,120.8,38.7,1.5,1.8,0.8,4,90.7,21,20.3,5.5,29.3,18.1,85.7,11.2,2,36.2,11,1.1,48.8,51.3,1,1.3,2.3,4.5,0.1,9.3,5.8,6.3,4.8,21.3,1.5,1,0.5,0.8,2.3,4,139,522.7,173.9,219.5,1.8,1.3,2,5,0,12.1,0.8,0.3,1.3,500,3.4,1.8,1.8,1.8,1.5,1,0,0,7.8,2.9,44,10.6,24.4,30,49.3,0,0,0,0,0,3,4,0,0,0,0,4,0,0,4,0,0,4,4,0,0,0,0,0,13771,24,"93.5%",12881,30,"6.5%",890,NA,"",NA,53,"100%",13771,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,34,"100%",13771,NA,"",NA,NA,"",NA,NA,"",NA,"90006",44.9376,44.9376,483.2,44.9376
"3","90008
(34.01097312100046, -118.34158773599972)",1,"Los Angeles","Los Angeles",2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,12,26.9,10.2,48.9,14.1,0,0,1,1,6.3,1,1,1,3,92,2.4,20,13,28,61,1,3.5,2.4,5,0,0,0,28,39,46,42,1,0,1,2,201.7,0,0,7.4,2,0,22.7,1.6,7,5,6,18,0.7,0,403934,447454,416437,146569,592720,520617,885766,775993,784030,676430,8.8,9.7,14.9,4.9,9.9,8.9,13.8,11.8,11,9.2,2,99,47,1,1,0,2,92,2,37,3.2,38.9,2.1,79.3,14.2,1.7,23.2,32.6,4.9,73,27,1,0,1,2,0.1,7,4,12,4,23,2,1,1,1,3,0,147.1,648.1,211.3,196.6,1,1,5,7,NA,17.9,0,0.3,2,0,3.4,0,7,9,1,0,0,0,17,4.8,59.1,10.3,26.3,13,50,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,19501,30,"100%",19501,NA,"",NA,NA,"",NA,54,"100%",19501,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,37,"100%",19501,NA,"",NA,NA,"",NA,NA,"",NA,"90008",7.92,7.92,99,7.92
"4","90011
(34.00790120200048, -118.25903697699971)",2,"Los Angeles","Los Angeles",4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,24.3,6.9,53.3,15.5,0.5,0,0,0.5,11.1,1,1.5,0,2.5,41.5,2.5,15.5,20,14,49.5,2,4.6,0,22,0,2,0,23,27,30,27.5,1,1.5,1.5,4,225.9,0.7,0,3.5,31,2,5,1.3,5.5,7.5,4,17,0.6,1.5,7115,48125.5,159716,257251.5,235339,327765,288092.5,343872.5,279863.5,-52021,0.5,1.8,4.3,5.8,4.9,7.1,5.6,6.8,5,-1.3,3,73.5,33.3,1,2,1,4,94.5,33,37,0.7,37.5,9.3,82.7,12.2,2.2,31.8,20.9,2.9,56,44,1.5,1,0.5,3,0.1,4,6,5,5,15,2,0.5,0,0.5,1,3,163.6,643.9,184.3,193.3,0.5,0.5,1.5,2.5,NA,NA,0,0.6,3,30500,3.6,3,1,2,0,0,0,0,6,5.8,52.2,12.2,30.9,16,45,0,0,2,0,0,2,2,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,0,0,24409,30,"68.5%",16716,33,"31.5%",7691,24,"0%",2,59,"100%",24407,53,"0%",2,NA,"",NA,NA,"",NA,NA,"",NA,40,"98.7%",24103,37,"1.2%",304,34,"0%",2,NA,"",NA,"90011",8.08500000000001,8.08500000000001,147,8.08500000000001
"5","90015
(34.04012376300045, -118.26498963499972)",1,"Los Angeles","Los Angeles",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,2,0,2,NA,0,0,0,0,41,1.7,12,19,8,39,3,21,NA,36,0,0,0,13,13,13,13,0,0,0,0,NA,NA,0,NA,38,8,NA,NA,2,6,2,10,2.1,0,-12270365,-20702778,NA,-20484347,-26500902,-17189344,31885626,-2244382,13435590,NA,-9.5,-14.3,-14.8,-11,-13.7,-7.9,11.7,-0.9,4.4,NA,5,31,NA,1,1,0,2,44,20,14,0,25,0,26.1,50,23.9,75,0,NA,62,38,1,1,1,3,0.4,3,6,3,5,12,4,3,2,1,6,NA,546.6,908.2,907.9,NA,2,1,1,4,0,13.8,0,3.4,5,0,7.2,0,0,0,0,0,0,0,0,NA,76.8,18.9,43.4,40,38,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,5312,30,"72%",3826,24,"28%",1486,NA,"",NA,53,"96.1%",5106,59,"3.9%",206,NA,"",NA,NA,"",NA,NA,"",NA,34,"96.1%",5106,37,"3.4%",182,40,"0.5%",24,NA,"",NA,"90015",17.36,17.36,31,17.36
"6","90016
(34.02888323300044, -118.35308896599969)",2,"Los Angeles","Los Angeles",2,0,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0.5,0,1.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2.5,0,0,0,0,4,24.1,7.9,52.2,15.8,0.5,0,0,0.5,7.7,0.5,0.5,0.5,1.5,37,2.3,21.5,20,23.5,65,3.5,3.9,3,18,0,0,1,19,22.5,25,24.5,2,1,1,4,214.6,1.2,0,14.9,41.5,5.5,7,12.9,4,5,9.5,18.5,1,0,457798,151899.5,202899.5,-35892.5,-321192.5,-204036,427461,571124,1342483.5,1291295,4.8,1,0.9,-1,-5,-5.6,4.5,7.9,5.5,9.5,1,126.5,26,2,2.5,1.5,6,96,41.5,5.5,0.3,31.9,4.6,85.9,12.9,1.1,39.2,24.3,0.1,27.5,72.5,1,1,1.5,3.5,0.1,8,8,7.5,4,23.5,1.5,0.5,0.5,1,2,3.9,172.8,678.1,146.5,219.6,3,1.5,1,5.5,5.3,24,0,0.3,1.5,500,3.6,0,2,2.5,0.5,0.5,1.5,0,7,6.6,42.1,11.7,25.5,47.5,41.5,0,0,0,0,0,2,2,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,1,0,22662,30,"100%",22662,NA,"",NA,NA,"",NA,54,"100%",22662,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,37,"100%",22662,NA,"",NA,NA,"",NA,NA,"",NA,"90016",10.12,10.12,253,10.12
"7","90017
(34.05230281300044, -118.26338632799968)",2,"Los Angeles","Los Angeles",5,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9,7.9,58.7,17.4,0,0,0,0,13.2,0,0,1,1,11,2.5,3.5,6.5,9,19,2,8.7,0,60,0,0,0,7,7,7,7,0,0,0,0,242.7,0,0,NA,23,5,NA,0,2,2.5,3,7.5,0.4,0,22830.5,-3426662.5,-157431,-963609.5,20772404,-275379,4933233.5,3389712.5,10680590.5,1211511,-14.7,-3.7,4.4,-2.8,3.4,5.8,14.4,15.7,19.3,22.2,4.5,38.5,17.1,0,0.5,0.5,1,69,27,11,0,12.5,8.3,33.5,62.6,3.8,31.3,47.9,0.3,54.5,45.5,0,0,1,1,0.1,1,3,2.5,5,6.5,4.5,0,0,1,1,0,682.2,897.6,1221.1,282.9,0.5,0.5,0,1,NA,6.5,0,2.7,3,0,5.6,0,0,0,1,0,0,0,1,2.6,51.5,16.5,36.5,32,52,0,0,0,0,0,1,1,1,0,0,2,0,0,0,1,1,0,2,2,0,0,0,0,0,4882,24,"84.2%",4111,30,"15.8%",771,NA,"",NA,53,"96.3%",4700,51,"3.7%",182,NA,"",NA,NA,"",NA,NA,"",NA,34,"100%",4882,NA,"",NA,NA,"",NA,NA,"",NA,"90017",23.87,23.87,77,23.87
"8","90018
(34.03077331100047, -118.31686899999971)",5,"Los Angeles","Los Angeles",2.4,0.8,0.2,0,0.2,1.2,0,0,0.6,0,2,0.2,0,1.4,0,0,0.2,0,1.8,0,0,0.8,0,0,0,0,0.8,0.6,0.2,0.6,0,0,0,0,1.4,0.8,0.4,1.2,0,0,0.8,0,3.2,27.8,7.5,48.1,16.7,0.2,0,0,0.2,11.9,1.6,1.4,0.4,3.4,51,2.3,22.2,20.8,19.8,62.8,4,4.7,2.9,19.2,0,0.4,0,21.8,29,36.2,29.4,1.6,1,0.6,3.2,246.6,1,833,10.2,23.4,1.6,15.8,4.3,6.8,6.4,9.8,23,0.9,0,-22871.6,308834.4,25689,-138805.5,328720.8,170414.6,145875.4,284342.8,473769.8,199320.6,-0.3,4.3,-8,9.5,5.1,2.6,3.5,4,6.3,2,2,107.2,35.8,1.4,1,0.4,2.8,91.8,25.8,34.6,0.3,30.8,3.6,76.4,13.2,4.8,40.4,25,5.6,61,39,1.4,1,1,3.4,0.1,6.6,6.8,5.4,4.2,18.8,1.8,0.8,0.8,0.4,2,6.9,187.5,617.4,195,206.1,1.8,2.4,1.8,6,3.7,7.9,0.6,0.4,1.8,6000,3.6,1.6,0.8,5.2,0,0,1.6,0,9.2,8.6,48.7,12,26.5,21,42.8,0,0,1,0,0,3,5,0,0,0,0,5,0,0,4,1,0,5,5,0,1,0,1,0,20830,30,"94.3%",19643,24,"5.7%",1187,NA,"",NA,54,"71.2%",14828,59,"17%",3547,53,"11.8%",2455,NA,"",NA,NA,"",NA,37,"94.3%",19643,34,"5.7%",1187,NA,"",NA,NA,"",NA,"90018",43.952,43.952,536,43.952
"9","90019
(34.04884418900048, -118.33610868499972)",5,"Los Angeles","Los Angeles",3.2,0,0.2,0,0.8,2.2,0.4,0,0.6,0,4,0.4,0.4,0,0.4,0,0.2,0,1.4,0,0,0.2,0,0,0,0,0.2,0.4,0,0.4,0.4,0,0,0,1.2,0.4,0.6,2,0,0,0,0,3,23.4,10.1,54.2,12.3,0.2,0.4,0.2,0.8,10.2,0.4,0.8,0.4,1.6,47,2.3,19.2,19,17.8,56,24,4.8,4.4,19.6,0,0.6,0,32.8,33.4,34.2,33.2,1.4,0.8,0.4,2.6,262.5,0.8,0,9.6,8.8,1.6,8,4.3,4.4,7.4,7.4,19.2,0.9,0.2,199187.4,356009.2,352028.8,118223.8,355277,296033.6,310295.6,545855.2,534358.4,579205,3.8,5.8,5.4,1.2,4,4.2,4.2,5.4,5.1,5.5,3.2,107.4,48.4,0.6,0.8,0.8,2.2,92.4,9.2,32.8,1,36,1.4,70.8,16.6,10,32.9,28.8,2.6,57.6,42.4,1,1.2,1.4,3.6,0.1,8,5.6,5.2,4.2,18.8,2.6,0.8,0.8,0.6,2.2,2.3,182.1,641,334.2,197.3,2.4,1.2,1.4,5,0.8,13.4,0.8,0.6,2.8,9800,3.8,1.2,1.8,4.8,1.2,0,0.8,0,9.8,3.6,61.1,10.8,27.3,11.2,54.4,0,0,3,0,0,3,5,0,0,0,1,4,0,0,5,0,0,5,5,0,0,0,1,0,28529,30,"71.1%",20281,24,"15.1%",4315,26,"13.8%",3933,54,"63.4%",18084,50,"21.4%",6119,53,"15.2%",4326,NA,"",NA,NA,"",NA,37,"84.9%",24214,34,"15.1%",4315,NA,"",NA,NA,"",NA,"90019",40.812,40.812,537,40.812
"10","90023
(34.02418193800048, -118.20195663999971)",3,"Los Angeles","Los Angeles",3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0.7,0,0,0.7,0,1,0,2.3,0.7,0,0,0,0,0.7,0,1.3,27.9,7.7,52.2,12.2,0.7,0.3,0,1,10.5,0.3,0.3,0.3,1,12,2.6,15.7,10.3,13.3,39.3,1.3,5.1,7.6,45.3,0,0,0,63.3,73.3,79,77.7,2,0,0,2,250,1.4,0,15.1,69.7,3,9.7,3.5,4.7,2.7,3,10.3,2.5,0,144137.3,958299,2876865.3,2657250.7,2252088.7,6501424,14238960.3,10953869,11453193.3,277208,4.2,6.9,10,5.7,5.7,11.7,15.2,13.1,12,3.4,3.7,54.3,60.3,1.3,0.7,2.3,4.3,86.3,41.3,24.3,0,74.6,1.6,85.9,12.7,1.1,10.4,13.4,0.8,54.3,45.7,0.7,1,1,2.7,0.2,5.3,3.7,5.7,3.7,14.7,3.3,0,1.3,1,2.3,3.5,972.9,1052,955.1,198.7,0.7,0.3,0,1,2.1,30,1.9,0.9,3.7,0,6,1.3,0,0,0.7,0,2,0,4,5.9,57.2,14.7,31.7,28.3,44.3,0,1,0,0,0,2,1,2,0,0,0,3,0,0,3,0,0,3,3,0,0,0,2,0,13532,24,"99.9%",13524,32,"0.1%",8,NA,"",NA,53,"65.4%",8851,51,"34.5%",4673,58,"0.1%",8,NA,"",NA,NA,"",NA,34,"65.4%",8851,40,"34.6%",4681,NA,"",NA,NA,"",NA,"90023",22.3173,22.3173,162.9,22.3173
