"","nursing.zippop","nursing.just_zip"
"1",21092,"90004"
"2",13771,"90006"
"3",19501,"90008"
"4",24409,"90011"
"5",5312,"90015"
"6",22662,"90016"
"7",4882,"90017"
"8",20830,"90018"
"9",28529,"90019"
"10",13532,"90023"
"11",21742,"90025"
"12",29158,"90026"
"13",24579,"90027"
"14",12646,"90029"
"15",13407,"90031"
"16",13863,"90033"
"17",27120,"90034"
"18",16835,"90035"
"19",19850,"90036"
"20",19792,"90037"
"21",16747,"90039"
"22",14836,"90041"
"23",27027,"90042"
"24",27506,"90043"
"25",34666,"90044"
"26",30076,"90046"
"27",13707,"90048"
"28",23287,"90049"
"29",8998,"90057"
"30",16937,"90059"
"31",10761,"90061"
"32",21275,"90065"
"33",29082,"90066"
"34",28762,"90201"
"35",13175,"90222"
"36",18322,"90230"
"37",9614,"90232"
"38",12584,"90240"
"39",18863,"90241"
"40",17907,"90242"
"41",18378,"90247"
"42",4917,"90248"
"43",13321,"90249"
"44",37140,"90250"
"45",21324,"90255"
"46",13447,"90260"
"47",22343,"90262"
"48",7861,"90270"
"49",27574,"90275"
"50",33389,"90280"
"51",8037,"90293"
"52",14260,"90301"
"53",13340,"90302"
"54",4125,"90401"
"55",16192,"90403"
"56",12335,"90404"
"57",18930,"90405"
"58",7986,"90502"
"59",22656,"90503"
"60",20120,"90505"
"61",9953,"90602"
"62",12046,"90603"
"63",18504,"90605"
"64",15516,"90606"
"65",24469,"90620"
"66",13820,"90621"
"67",32565,"90631"
"68",25672,"90638"
"69",27675,"90640"
"70",44200,"90650"
"71",30690,"90660"
"72",12285,"90680"
"73",6724,"90701"
"74",1786,"90704"
"75",30515,"90706"
"76",10737,"90717"
"77",14072,"90720"
"78",18094,"90723"
"79",25843,"90731"
"80",12551,"90732"
"81",17881,"90740"
"82",5497,"90755"
"83",18902,"90802"
"84",21390,"90803"
"85",16229,"90804"
"86",36881,"90805"
"87",17914,"90806"
"88",18930,"90807"
"89",15848,"90810"
"90",18395,"90813"
"91",11093,"90814"
"92",25103,"90815"
"93",15486,"91007"
"94",13087,"91010"
"95",21360,"91016"
"96",3631,"91020"
"97",15226,"91030"
"98",11240,"91040"
"99",13059,"91042"
"100",8748,"91101"
"101",12703,"91103"
"102",8327,"91105"
"103",19194,"91107"
"104",10454,"91201"
"105",11337,"91202"
"106",5480,"91204"
"107",14367,"91205"
"108",16254,"91206"
"109",10133,"91208"
"110",17753,"91214"
"111",7922,"91303"
"112",21842,"91304"
"113",19083,"91306"
"114",15205,"91307"
"115",21031,"91311"
"116",25001,"91320"
"117",14401,"91321"
"118",16205,"91325"
"119",29718,"91335"
"120",36066,"91342"
"121",21730,"91343"
"122",28520,"91344"
"123",8566,"91345"
"124",17204,"91352"
"125",15906,"91356"
"126",24496,"91360"
"127",13299,"91361"
"128",21463,"91362"
"129",15835,"91364"
"130",18083,"91402"
